organisation_name,knowby_id,knowby_name,member_id,member_name,date
Knowby Examples,40a7a420-d3c4-449b-87cc-e9a7d15a81a3,SAP Transaction ME51N  Create Purchase Requisition,44ed-a978-e8d990e2----8b3d-aef900a6bb99,Robert Perez,05/07/2025
Knowby Examples,40a7a420-d3c4-449b-87cc-e9a7d15a81a3,SAP Transaction ME51N  Create Purchase Requisition,44ed-a978-e8d990e2----8b3d-aef900a6bb99,Robert Perez,05/07/2025
Knowby Examples,ba8ae272-6a2f-43c0-b061-45fe8cce4f9e,Chainsaw Basics: How to Use One Safely,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025
Knowby Examples,ba8ae272-6a2f-43c0-b061-45fe8cce4f9e,Chainsaw Basics: How to Use One Safely,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025
Knowby Examples,569b92f9-4d86-4601-a679-a4e379ef3f0c,Test ProRes,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/06/2025
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2025
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2025
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2024
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2025
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,17/10/2025
Knowby Examples,b1c74715-e222-403c-b87c-741a3b1e6dab,Safely Loading a Fuel Tanker Guide,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025
Knowby Examples,b1c74715-e222-403c-b87c-741a3b1e6dab,Safely Loading a Fuel Tanker Guide,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025
